metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id
HILp_QI13254	UC_vs_non_IBD	model_group	UC	7.19303374742854	1.56724821000181	2.84204946236261e-5	0.0116889434316314	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI13254	7.19303374742854	1.56724821000181	56	56	2.84204946236261e-5	0.0116889434316314	HILp_QI13254
HILp_QI12846	UC_vs_non_IBD	model_group	UC	6.66180890313678	1.45429430573346	2.92856522838396e-5	0.0119248526410023	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI12846	6.66180890313678	1.45429430573346	56	56	2.92856522838396e-5	0.0119248526410023	HILp_QI12846
C18n_QI2978	UC_vs_non_IBD	model_group	UC	4.86211009774822	1.06228260494732	2.96611156857347e-5	0.0120354455922405	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2978	4.86211009774822	1.06228260494732	56	56	2.96611156857347e-5	0.0120354455922405	C18n_QI2978
HILp_QI1248	UC_vs_non_IBD	model_group	UC	2.14360815490604	0.468580411856276	2.98995934578657e-5	0.0120531896833547	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI1248	2.14360815490604	0.468580411856276	56	56	2.98995934578657e-5	0.0120531896833547	HILp_QI1248
C18n_QI1397	UC_vs_non_IBD	model_group	UC	-1.31713117652291	0.287970216640497	2.9985199794259e-5	0.0120531896833547	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI1397	-1.31713117652291	0.287970216640497	56	56	2.9985199794259e-5	0.0120531896833547	C18n_QI1397
C18n_QI8066	UC_vs_non_IBD	model_group	UC	-1.85418635295989	0.405405204351698	3.00038877147303e-5	0.0120531896833547	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI8066	-1.85418635295989	0.405405204351698	56	56	3.00038877147303e-5	0.0120531896833547	C18n_QI8066
C18n_QI2824	UC_vs_non_IBD	model_group	UC	-2.67253366304405	0.585347836857847	3.08251709397911e-5	0.0123421126480055	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2824	-2.67253366304405	0.585347836857847	56	56	3.08251709397911e-5	0.0123421126480055	C18n_QI2824
HILn_QI7589	IBD_vs_non_IBD	model_group	IBD	5.02768834521182	1.01237048142654	2.78340348160147e-6	0.0123990574752504	105	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI7589	5.02768834521182	1.01237048142654	105	105	2.78340348160147e-6	0.0123990574752504	HILn_QI7589
C8p_QI7275	IBD_vs_non_IBD	model_group	IBD	6.03024082048977	1.21616749334073	2.87538366893598e-6	0.0123990574752504	105	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI7275	6.03024082048977	1.21616749334073	105	105	2.87538366893598e-6	0.0123990574752504	C8p_QI7275
C18n_QI6559	UC_vs_non_IBD	model_group	UC	1.49812737312155	0.328351836576976	3.11570775876338e-5	0.0124338333588828	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI6559	1.49812737312155	0.328351836576976	56	56	3.11570775876338e-5	0.0124338333588828	C18n_QI6559
