original_metabolite_id	maaslin_metabolite_id
C18n_QI6587	C18n_QI6587
C18n_QI6665	C18n_QI6665
C18n_QI7070	C18n_QI7070
C18n_QI529	C18n_QI529
C18n_QI632	C18n_QI632
C18n_QI879	C18n_QI879
C18n_QI1504	C18n_QI1504
C18n_QI1525	C18n_QI1525
C18n_QI1741	C18n_QI1741
C18n_QI1860	C18n_QI1860
C18n_QI1966	C18n_QI1966
C18n_QI2001	C18n_QI2001
C18n_QI2139	C18n_QI2139
C18n_QI2284	C18n_QI2284
C18n_QI2658	C18n_QI2658
C18n_QI3068	C18n_QI3068
C18n_QI3123	C18n_QI3123
C18n_QI3482	C18n_QI3482
C18n_QI4392	C18n_QI4392
C18n_QI4692	C18n_QI4692
C18n_QI5196	C18n_QI5196
C18n_QI5300	C18n_QI5300
C18n_QI5619	C18n_QI5619
C18n_QI5979	C18n_QI5979
C18n_QI7835	C18n_QI7835
C18n_QI8244	C18n_QI8244
C18n_QI8296	C18n_QI8296
C18n_QI8770	C18n_QI8770
C18n_QI9205	C18n_QI9205
C18n_QI9522	C18n_QI9522
C18n_QI10461	C18n_QI10461
C18n_QI11364	C18n_QI11364
C18n_QI158	C18n_QI158
C18n_QI170	C18n_QI170
C18n_QI433	C18n_QI433
C18n_QI441	C18n_QI441
C18n_QI510	C18n_QI510
C18n_QI518	C18n_QI518
C18n_QI530	C18n_QI530
C18n_QI622	C18n_QI622
C18n_QI937	C18n_QI937
C18n_QI961	C18n_QI961
C18n_QI991	C18n_QI991
C18n_QI1116	C18n_QI1116
C18n_QI1616	C18n_QI1616
C18n_QI1678	C18n_QI1678
C18n_QI1747	C18n_QI1747
C18n_QI1832	C18n_QI1832
C18n_QI1922	C18n_QI1922
C18n_QI1969	C18n_QI1969
C18n_QI2110	C18n_QI2110
C18n_QI2142	C18n_QI2142
C18n_QI2195	C18n_QI2195
C18n_QI2198	C18n_QI2198
C18n_QI2274	C18n_QI2274
C18n_QI2323	C18n_QI2323
C18n_QI2471	C18n_QI2471
C18n_QI2527	C18n_QI2527
C18n_QI2579	C18n_QI2579
