metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id	abs_beta	q_value_safe	p_value_safe	selection_source	metabolite_label
C18n_QI846	UC_vs_non_IBD	model_group	UC	6.72703296716877	1.16625544301061	4.4641312487189e-7	9.8144331333198e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI846	6.72703296716877	1.16625544301061	56	56	4.4641312487189e-7	9.8144331333198e-4	C18n_QI846	6.72703296716877	9.8144331333198e-4	4.4641312487189e-7	FDR_lt_0.10	C18n QI846
C18n_QI3804	UC_vs_non_IBD	model_group	UC	9.6552070365468	1.68088761715441	4.86761959189974e-7	0.00101700628028848	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI3804	9.6552070365468	1.68088761715441	56	56	4.86761959189974e-7	0.00101700628028848	C18n_QI3804	9.6552070365468	0.00101700628028848	4.86761959189974e-7	FDR_lt_0.10	C18n QI3804
C18n_QI11349	UC_vs_non_IBD	model_group	UC	3.1890658774986	0.555246825263874	4.87821203267767e-7	0.00101700628028848	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI11349	3.1890658774986	0.555246825263874	56	56	4.87821203267767e-7	0.00101700628028848	C18n_QI11349	3.1890658774986	0.00101700628028848	4.87821203267767e-7	FDR_lt_0.10	C18n QI11349
C18n_QI4874	IBD_vs_non_IBD	model_group	IBD	4.12519658468647	0.704492212045702	5.95410327167258e-8	0.00102851179914872	105	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI4874	4.12519658468647	0.704492212045702	105	105	5.95410327167258e-8	0.00102851179914872	C18n_QI4874	4.12519658468647	0.00102851179914872	5.95410327167258e-8	FDR_lt_0.10	C18n QI4874
C18n_QI3278	UC_vs_non_IBD	model_group	UC	-5.3691059025221	0.936230318364045	5.03385807300334e-7	0.00103166788215495	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI3278	-5.3691059025221	0.936230318364045	56	56	5.03385807300334e-7	0.00103166788215495	C18n_QI3278	5.3691059025221	0.00103166788215495	5.03385807300334e-7	FDR_lt_0.10	C18n QI3278
C18n_QI1579	UC_vs_non_IBD	model_group	UC	4.58181052070457	0.801293595684874	5.34850907282402e-7	0.00107430790722988	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1579	4.58181052070457	0.801293595684874	56	56	5.34850907282402e-7	0.00107430790722988	C18n_QI1579	4.58181052070457	0.00107430790722988	5.34850907282402e-7	FDR_lt_0.10	C18n QI1579
C18n_QI2985	UC_vs_non_IBD	model_group	UC	5.28663198418072	0.925148904887993	5.41960521518905e-7	0.00107430790722988	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2985	5.28663198418072	0.925148904887993	56	56	5.41960521518905e-7	0.00107430790722988	C18n_QI2985	5.28663198418072	0.00107430790722988	5.41960521518905e-7	FDR_lt_0.10	C18n QI2985
C18n_QI13348	UC_vs_non_IBD	model_group	UC	-4.36987015166265	0.765327574078087	5.5094026077541e-7	0.00107449345891034	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI13348	-4.36987015166265	0.765327574078087	56	56	5.5094026077541e-7	0.00107449345891034	C18n_QI13348	4.36987015166265	0.00107449345891034	5.5094026077541e-7	FDR_lt_0.10	C18n QI13348
HILp_QI3606	UC_vs_non_IBD	model_group	UC	7.42931142545408	1.31325341499211	6.66029828644266e-7	0.00118433815911775	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI3606	7.42931142545408	1.31325341499211	56	56	6.66029828644266e-7	0.00118433815911775	HILp_QI3606	7.42931142545408	0.00118433815911775	6.66029828644266e-7	FDR_lt_0.10	HILp QI3606
C18n_QI1549	UC_vs_non_IBD	model_group	UC	4.26139290709774	0.754238104660305	6.83649245894569e-7	0.00119805071760985	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1549	4.26139290709774	0.754238104660305	56	56	6.83649245894569e-7	0.00119805071760985	C18n_QI1549	4.26139290709774	0.00119805071760985	6.83649245894569e-7	FDR_lt_0.10	C18n QI1549
HILp_QI376	UC_vs_non_IBD	model_group	UC	4.94945511026777	0.876830509107512	6.96618819117735e-7	0.00120333934814398	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI376	4.94945511026777	0.876830509107512	56	56	6.96618819117735e-7	0.00120333934814398	HILp_QI376	4.94945511026777	0.00120333934814398	6.96618819117735e-7	FDR_lt_0.10	HILp QI376
