feature_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	feature_label	feature	coef	stderr	N	N.not.0	pval	qval	original_feature_id	direction
Lactobacillus	CD_vs_UC	model_group	CD	5.6116476446403e-4	5.147171092546e-4	0.27909823009955	0.796451046869448	79	MaasLin2_LM_CLR	Lactobacillus	Lactobacillus	5.6116476446403e-4	5.147171092546e-4	79	0	0.27909823009955	0.796451046869448	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	higher_in_case_group
Subdoligranulum	CD_vs_UC	model_group	CD	0.0106241801607017	0.0109155880690983	0.333531220958999	0.809401691020239	79	MaasLin2_LM_CLR	Subdoligranulum	Subdoligranulum	0.0106241801607017	0.0109155880690983	79	29	0.333531220958999	0.809401691020239	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	higher_in_case_group
Akkermansia	CD_vs_UC	model_group	CD	0.00430020258533772	0.00485079145094955	0.378184596823662	0.809401691020239	79	MaasLin2_LM_CLR	Akkermansia	Akkermansia	0.00430020258533772	0.00485079145094955	79	6	0.378184596823662	0.809401691020239	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	higher_in_case_group
Escherichia	CD_vs_UC	model_group	CD	0.0099917528575551	0.0114544069993356	0.385825314821379	0.809401691020239	79	MaasLin2_LM_CLR	Escherichia	Escherichia	0.0099917528575551	0.0114544069993356	79	12	0.385825314821379	0.809401691020239	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	higher_in_case_group
Oscillibacter	CD_vs_UC	model_group	CD	0.00419786572837085	0.00506077191605663	0.40945888293856	0.809401691020239	79	MaasLin2_LM_CLR	Oscillibacter	Oscillibacter	0.00419786572837085	0.00506077191605663	79	9	0.40945888293856	0.809401691020239	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	higher_in_case_group
Bilophila	CD_vs_UC	model_group	CD	7.3352201738831e-4	9.9991255670304e-4	0.465487988922182	0.809401691020239	79	MaasLin2_LM_CLR	Bilophila	Bilophila	7.3352201738831e-4	9.9991255670304e-4	79	1	0.465487988922182	0.809401691020239	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	higher_in_case_group
Anaerostipes	CD_vs_UC	model_group	CD	-3.5585422520197e-4	5.2097860695916e-4	0.496680114892504	0.809401691020239	79	MaasLin2_LM_CLR	Anaerostipes	Anaerostipes	-3.5585422520197e-4	5.2097860695916e-4	79	0	0.496680114892504	0.809401691020239	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	lower_in_case_group
Haemophilus	CD_vs_UC	model_group	CD	0.0114591894710913	0.0168318991195775	0.498093348320147	0.809401691020239	79	MaasLin2_LM_CLR	Haemophilus	Haemophilus	0.0114591894710913	0.0168318991195775	79	2	0.498093348320147	0.809401691020239	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	higher_in_case_group
Porphyromonas	CD_vs_UC	model_group	CD	1.8024124283945e-4	2.7240762828727e-4	0.510216902151418	0.816606401523289	79	MaasLin2_LM_CLR	Porphyromonas	Porphyromonas	1.8024124283945e-4	2.7240762828727e-4	79	0	0.510216902151418	0.816606401523289	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	higher_in_case_group
Barnesiella	CD_vs_UC	model_group	CD	0.00229407268053835	0.00364736207394882	0.531281320540218	0.816606401523289	79	MaasLin2_LM_CLR	Barnesiella	Barnesiella	0.00229407268053835	0.00364736207394882	79	8	0.531281320540218	0.816606401523289	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	higher_in_case_group
Streptococcus	CD_vs_UC	model_group	CD	0.00265483734169685	0.00463851407183683	0.568798975656947	0.816606401523289	79	MaasLin2_LM_CLR	Streptococcus	Streptococcus	0.00265483734169685	0.00463851407183683	79	3	0.568798975656947	0.816606401523289	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	higher_in_case_group
Propionibacterium	CD_vs_UC	model_group	CD	0.00120476287719185	0.00263265956659517	0.648547031612202	0.840683165464532	79	MaasLin2_LM_CLR	Propionibacterium	Propionibacterium	0.00120476287719185	0.00263265956659517	79	1	0.648547031612202	0.840683165464532	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	higher_in_case_group
Bacteroides	CD_vs_UC	model_group	CD	0.0188875614663066	0.0425791600091683	0.658618286313921	0.840683165464532	79	MaasLin2_LM_CLR	Bacteroides	Bacteroides	0.0188875614663066	0.0425791600091683	79	72	0.658618286313921	0.840683165464532	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	higher_in_case_group
Sutterella	CD_vs_UC	model_group	CD	-9.153541379171e-4	0.00212404357470521	0.667741628624924	0.840683165464532	79	MaasLin2_LM_CLR	Sutterella	Sutterella	-9.153541379171e-4	0.00212404357470521	79	5	0.667741628624924	0.840683165464532	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	lower_in_case_group
Prevotella	CD_vs_UC	model_group	CD	-0.0148740755086151	0.0345694129934773	0.668235336651295	0.840683165464532	79	MaasLin2_LM_CLR	Prevotella	Prevotella	-0.0148740755086151	0.0345694129934773	79	10	0.668235336651295	0.840683165464532	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	lower_in_case_group
Eggerthella	CD_vs_UC	model_group	CD	1.0552595740609e-4	2.7745075623483e-4	0.704767201316319	0.86797644793694	79	MaasLin2_LM_CLR	Eggerthella	Eggerthella	1.0552595740609e-4	2.7745075623483e-4	79	0	0.704767201316319	0.86797644793694	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	higher_in_case_group
Parasutterella	CD_vs_UC	model_group	CD	2.6490072153518e-4	9.4405205428168e-4	0.779790027594637	0.930973808454822	79	MaasLin2_LM_CLR	Parasutterella	Parasutterella	2.6490072153518e-4	9.4405205428168e-4	79	1	0.779790027594637	0.930973808454822	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	higher_in_case_group
Blautia	CD_vs_UC	model_group	CD	0.0010420955060352	0.00535998241030901	0.846371571468733	0.951888498192684	79	MaasLin2_LM_CLR	Blautia	Blautia	0.0010420955060352	0.00535998241030901	79	9	0.846371571468733	0.951888498192684	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	higher_in_case_group
Bifidobacterium	CD_vs_UC	model_group	CD	0.0012321866608926	0.00809727660181024	0.879459131638503	0.951888498192684	79	MaasLin2_LM_CLR	Bifidobacterium	Bifidobacterium	0.0012321866608926	0.00809727660181024	79	6	0.879459131638503	0.951888498192684	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	higher_in_case_group
Parabacteroides	CD_vs_UC	model_group	CD	0.00253511345538955	0.0188422065619531	0.89333251305569	0.951888498192684	79	MaasLin2_LM_CLR	Parabacteroides	Parabacteroides	0.00253511345538955	0.0188422065619531	79	41	0.89333251305569	0.951888498192684	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	higher_in_case_group
Anaerotruncus	CD_vs_UC	model_group	CD	5.05416299679189e-5	3.7855797239119e-4	0.894146910645925	0.951888498192684	79	MaasLin2_LM_CLR	Anaerotruncus	Anaerotruncus	5.05416299679189e-5	3.7855797239119e-4	79	0	0.894146910645925	0.951888498192684	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	higher_in_case_group
Holdemania	CD_vs_UC	model_group	CD	-2.0887220910658e-5	2.7359736767397e-4	0.939349568819448	0.964069294314697	79	MaasLin2_LM_CLR	Holdemania	Holdemania	-2.0887220910658e-5	2.7359736767397e-4	79	0	0.939349568819448	0.964069294314697	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	lower_in_case_group
Paraprevotella	CD_vs_UC	model_group	CD	6.2223765252871e-5	0.00225107300209407	0.978021243147815	0.990692360210913	79	MaasLin2_LM_CLR	Paraprevotella	Paraprevotella	6.2223765252871e-5	0.00225107300209407	79	4	0.978021243147815	0.990692360210913	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	higher_in_case_group
Ruminococcus	CD_vs_non_IBD	model_group	CD	-0.0149179913005334	0.00680281849807143	0.0315912610224452	0.610210792872432	75	MaasLin2_LM_CLR	Ruminococcus	Ruminococcus	-0.0149179913005334	0.00680281849807143	75	4	0.0315912610224452	0.610210792872432	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	lower_in_case_group
Porphyromonas	CD_vs_non_IBD	model_group	CD	5.4534200256484e-4	3.2118031760546e-4	0.0938999297617302	0.687969904973528	75	MaasLin2_LM_CLR	Porphyromonas	Porphyromonas	5.4534200256484e-4	3.2118031760546e-4	75	0	0.0938999297617302	0.687969904973528	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	higher_in_case_group
Akkermansia	CD_vs_non_IBD	model_group	CD	-0.0274476725737171	0.016221821778551	0.0950265536329879	0.687969904973528	75	MaasLin2_LM_CLR	Akkermansia	Akkermansia	-0.0274476725737171	0.016221821778551	75	10	0.0950265536329879	0.687969904973528	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	lower_in_case_group
Eggerthella	CD_vs_non_IBD	model_group	CD	4.9398657525202e-4	3.1736007429983e-4	0.124024137788353	0.687969904973528	75	MaasLin2_LM_CLR	Eggerthella	Eggerthella	4.9398657525202e-4	3.1736007429983e-4	75	0	0.124024137788353	0.687969904973528	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	higher_in_case_group
Klebsiella	CD_vs_non_IBD	model_group	CD	0.00121730665105262	7.9271041049868e-4	0.129074729437522	0.687969904973528	75	MaasLin2_LM_CLR	Klebsiella	Klebsiella	0.00121730665105262	7.9271041049868e-4	75	1	0.129074729437522	0.687969904973528	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	higher_in_case_group
Barnesiella	CD_vs_non_IBD	model_group	CD	-0.00699325061284979	0.00458635019447033	0.131752159350359	0.687969904973528	75	MaasLin2_LM_CLR	Barnesiella	Barnesiella	-0.00699325061284979	0.00458635019447033	75	15	0.131752159350359	0.687969904973528	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	lower_in_case_group
Oscillibacter	CD_vs_non_IBD	model_group	CD	0.00746040737657738	0.00542757161240131	0.173597492423394	0.687969904973528	75	MaasLin2_LM_CLR	Oscillibacter	Oscillibacter	0.00746040737657738	0.00542757161240131	75	5	0.173597492423394	0.687969904973528	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	higher_in_case_group
Alistipes	CD_vs_non_IBD	model_group	CD	-0.0200127568863665	0.0146725435281637	0.176888792614691	0.687969904973528	75	MaasLin2_LM_CLR	Alistipes	Alistipes	-0.0200127568863665	0.0146725435281637	75	47	0.176888792614691	0.687969904973528	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	lower_in_case_group
